County_FIPS,County,State,Obesity-2021-Percentage,Enrolled in Free or Reduced Lunch-2020-2021-Percent
46069,Hyde County,South Dakota,20.3,26.609442060085836
47047,Fayette County,Tennessee,20.3,No Data
48149,Fayette County,Texas,20.3,52.00868621064061
13003,Atkinson County,Georgia,20.4,84.83009708737865
13161,Jeff Davis County,Georgia,20.4,78.39687194525904
16003,Adams County,Idaho,20.4,34.988713318284425
16013,Blaine County,Idaho,20.4,29.83576642335766
17015,Carroll County,Illinois,20.4,No Data
21137,Lincoln County,Kentucky,20.4,68.81287726358148
21215,Spencer County,Kentucky,20.4,31.89929891650733
30037,Golden Valley County,Montana,20.4,No Data
31183,Wheeler County,Nebraska,20.4,36.79245283018868
32027,Pershing County,Nevada,20.4,72.8414442700157
40007,Beaver County,Oklahoma,20.4,52.59809119830329
46053,Gregory County,South Dakota,20.4,30.942334739803094
46111,Sanborn County,South Dakota,20.4,32.76595744680851
48395,Robertson County,Texas,20.4,61.640866873065015
48471,Walker County,Texas,20.4,56.66371039264694
48487,Wilbarger County,Texas,20.4,58.73440285204992
55089,Ozaukee County,Wisconsin,20.4,15.552855407047387
13075,Cook County,Georgia,20.5,74.56056248002557
13301,Warren County,Georgia,20.5,100
31091,Hooker County,Nebraska,20.5,49.101796407185624
40055,Greer County,Oklahoma,20.5,68.62527716186253
42087,Mifflin County,Pennsylvania,20.5,52.91985501409585
46091,Marshall County,South Dakota,20.5,32.6219512195122
48203,Harrison County,Texas,20.5,51.60981552384267
48497,Wise County,Texas,20.5,49.3386124358859
01029,Cleburne County,Alabama,20.6,48.44621513944223
05129,Searcy County,Arkansas,20.6,100
13093,Dooly County,Georgia,20.6,100
13105,Elbert County,Georgia,20.6,74.75921620724012
20187,Stanton County,Kansas,20.6,59.120879120879124
21057,Cumberland County,Kentucky,20.6,76.82672233820459
31005,Arthur County,Nebraska,20.6,4.838709677419355
37167,Stanly County,North Carolina,20.6,45.29738878143134
40053,Grant County,Oklahoma,20.6,45.51539491298527
48493,Wilson County,Texas,20.6,41.40819560787865
51141,Patrick County,Virginia,20.6,No Data
51735,Poquoson City,Virginia,20.6,No Data
13143,Haralson County,Georgia,20.7,48.21750090025207
16081,Teton County,Idaho,20.7,27.633069082672705
17071,Henderson County,Illinois,20.7,No Data
17109,Mcdonough County,Illinois,20.7,No Data
21155,Marion County,Kentucky,20.7,57.77089783281733
26101,Manistee County,Michigan,20.7,69.62662337662337
35011,De Baca County,New Mexico,20.7,100
47015,Cannon County,Tennessee,20.7,No Data
48259,Kendall County,Texas,20.7,23.795791947025528
06009,Calaveras County,California,20.8,47.62094365916783
13099,Early County,Georgia,20.8,100
21007,Ballard County,Kentucky,20.8,60.05385996409336
37079,Greene County,North Carolina,20.8,99.1572004397215
37185,Warren County,North Carolina,20.8,90.47131147540983
40067,Jefferson County,Oklahoma,20.8,74.04580152671755
47101,Lewis County,Tennessee,20.8,No Data
48225,Houston County,Texas,20.8,70.6359102244389
55051,Iron County,Wisconsin,20.8,49.4556765163297
08105,Rio Grande County,Colorado,20.9,59.23820352472996
17007,Boone County,Illinois,20.9,No Data
17063,Grundy County,Illinois,20.9,No Data
21139,Livingston County,Kentucky,20.9,58.543165467625904
46043,Douglas County,South Dakota,20.9,25.396825396825395
47171,Unicoi County,Tennessee,20.9,No Data
55053,Jackson County,Wisconsin,20.9,53.71295371295371
13187,Lumpkin County,Georgia,21,41.52156442539513
13227,Pickens County,Georgia,21,46.482232291915096
13243,Randolph County,Georgia,21,88.78260869565217
17141,Ogle County,Illinois,21,No Data
26085,Lake County,Michigan,21,97.58241758241758
47087,Jackson County,Tennessee,21,No Data
08029,Delta County,Colorado,21.1,58.642122878317
08047,Gilpin County,Colorado,21.1,24.00932400932401
13191,Mcintosh County,Georgia,21.1,85.52215189873418
13201,Miller County,Georgia,21.1,100
18049,Fulton County,Indiana,21.1,51.61634103019538
