County_FIPS,County,State,Obesity-2019-Percentage,Access to Exercise Opportunities-2020 & 2022-Percent
13273,Terrell County,Georgia,22.6,62.003266194883
17087,Johnson County,Illinois,22.6,65.8701532912534
17101,Lawrence County,Illinois,22.6,38.7107329842932
17159,Richland County,Illinois,22.6,62.6952507430595
19021,Buena Vista County,Iowa,22.6,79.15285981847
20017,Chase County,Kansas,22.6,64.93001555209949
22083,Richland Parish,Louisiana,22.6,51.8884398543132
29141,Morgan County,Missouri,22.6,43.887460725507
29179,Reynolds County,Missouri,22.6,44.0288713910761
31117,Mcpherson County,Nebraska,22.6,No Data
37073,Gates County,North Carolina,22.6,26.9421645352166
37117,Martin County,North Carolina,22.6,55.349280559212
37139,Pasquotank County,North Carolina,22.6,41.8359297968842
42105,Potter County,Pennsylvania,22.6,27.9702366430837
46119,Sully County,South Dakota,22.6,0.9681881051176001
47121,Meigs County,Tennessee,22.6,18.0827715942938
48083,Coleman County,Texas,22.6,63.300364393545
48301,Loving County,Texas,22.6,No Data
48325,Medina County,Texas,22.6,64.6409710727516
48379,Rains County,Texas,22.6,49.6464978625452
51720,Norton City,Virginia,22.6,94.2771901274749
54001,Barbour County,West Virginia,22.6,29.815712900097
55103,Richland County,Wisconsin,22.6,42.8513638465095
08019,Clear Creek County,Colorado,22.7,73.1935724167287
13155,Irwin County,Georgia,22.7,48.7792261535278
13243,Randolph County,Georgia,22.7,61.058365758754896
17021,Christian County,Illinois,22.7,65.6499764927127
17069,Hardin County,Illinois,22.7,73.7736366127706
20023,Cheyenne County,Kansas,22.7,56.9189602446483
21201,Robertson County,Kentucky,22.7,1.7327861377109
28157,Wilkinson County,Mississippi,22.7,10.4693140794224
29139,Montgomery County,Missouri,22.7,32.918212329976996
30045,Judith Basin County,Montana,22.7,11.8635689569946
35057,Torrance County,New Mexico,22.7,8.3881688268528
46097,Miner County,South Dakota,22.7,51.7841601392515
47083,Houston County,Tennessee,22.7,45.249305807074705
48333,Mills County,Texas,22.7,14.3626570915619
48363,Palo Pinto County,Texas,22.7,48.3297546552149
48451,Tom Green County,Texas,22.7,86.3378415539611
48475,Ward County,Texas,22.7,85.70079010649259
08085,Montrose County,Colorado,22.8,67.6585674453478
13239,Quitman County,Georgia,22.8,42.2818791946309
20083,Hodgeman County,Kansas,22.8,51.189785258270504
21045,Casey County,Kentucky,22.8,No Data
21187,Owen County,Kentucky,22.8,46.1961340663238
28125,Sharkey County,Mississippi,22.8,1.2368421052632002
31099,Kearney County,Nebraska,22.8,61.7673444976077
37013,Beaufort County,North Carolina,22.8,62.599659589716
41017,Deschutes County,Oregon,22.8,94.0727252551033
46003,Aurora County,South Dakota,22.8,3.3491081179469
47101,Lewis County,Tennessee,22.8,47.1944047051343
48009,Archer County,Texas,22.8,20.1985981308411
48025,Bee County,Texas,22.8,47.6277901246497
48037,Bowie County,Texas,22.8,53.200994692818604
48223,Hopkins County,Texas,22.8,51.110446625166496
48247,Jim Hogg County,Texas,22.8,No Data
48255,Karnes County,Texas,22.8,51.842284160435106
48261,Kenedy County,Texas,22.8,0
48313,Madison County,Texas,22.8,No Data
48395,Robertson County,Texas,22.8,59.8555827415408
48453,Travis County,Texas,22.8,92.8277119303543
06035,Lassen County,California,22.9,45.484265200122195
08061,Kiowa County,Colorado,22.9,58.43706777316739
13263,Talbot County,Georgia,22.9,10.989010989011
18049,Fulton County,Indiana,22.9,36.0302734375
21223,Trimble County,Kentucky,22.9,42.1288647628039
22027,Claiborne Parish,Louisiana,22.9,63.323923782639405
29085,Hickory County,Missouri,22.9,28.9890083343399
30109,Wibaux County,Montana,22.9,No Data
32009,Esmeralda County,Nevada,22.9,9.60219478738
37095,Hyde County,North Carolina,22.9,52.4733057310961
37131,Northampton County,North Carolina,22.9,20.2964913284872
37149,Polk County,North Carolina,22.9,61.1806705298013
40077,Latimer County,Oklahoma,22.9,45.7327403642524
48031,Blanco County,Texas,22.9,37.7263935291015
48185,Grimes County,Texas,22.9,31.9119857865245
48195,Hansford County,Texas,22.9,61.911069063386904
48337,Montague County,Texas,22.9,29.606811920861496
